SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,25.246,4.967,9.817,0.506,4.117,7.45,0.553,0.85,2.367,0.359,2.517,3.283,0.766,1.217,3.317,4.533,1.067,0.867,1.367,1.633,3.667,13.3,9.425,-1.683,0.591,0.549,0.241,0.256,4.84,15.267,10.024,7.159,1.766,4.955,12.891,23.228,105.638,106.776,-1.166
2019-20,27.493,5.983,12.763,0.469,3.525,6.525,0.54,2.458,6.237,0.394,2.356,3.153,0.747,0.932,3.508,4.441,1.322,0.678,1.559,1.678,3.932,16.78,11.069,-1.763,0.593,0.565,0.489,0.185,3.656,13.396,8.623,7.189,1.126,4.902,10.839,24.181,106.649,110.947,-0.232
2020-21,23.243,4.211,10.053,0.419,2.737,5.0,0.547,1.474,5.053,0.292,3.053,3.632,0.841,1.526,3.526,5.053,1.105,0.947,1.421,1.053,3.684,12.947,9.679,-4.421,0.556,0.492,0.503,0.304,7.35,16.794,11.956,6.678,1.872,5.689,8.678,24.039,113.389,114.278,-0.206
2021-22,27.013,5.374,13.099,0.41,3.67,7.901,0.465,1.703,5.198,0.328,3.56,4.374,0.814,1.593,4.286,5.879,1.066,0.901,2.275,1.615,3.571,16.011,11.263,4.396,0.533,0.475,0.397,0.272,5.901,17.12,11.454,5.968,1.674,7.663,10.497,25.564,107.556,106.222,-0.138
2022-23,28.684,6.443,12.929,0.498,4.914,8.543,0.575,1.529,4.386,0.349,3.886,4.886,0.795,1.829,4.929,6.757,0.986,1.014,2.871,1.786,3.586,18.3,14.68,5.014,0.607,0.557,0.339,0.301,6.519,18.526,12.659,5.204,1.712,8.916,11.126,24.457,116.0,106.029,2.525
2023-24,31.704,7.701,17.343,0.444,5.955,11.881,0.501,1.746,5.463,0.32,5.03,6.224,0.808,1.269,4.179,5.448,2.299,1.194,1.582,2.388,3.507,22.179,14.903,-5.075,0.552,0.494,0.315,0.29,4.359,14.806,9.412,13.642,1.8,4.527,11.021,30.714,104.955,114.03,-0.115
