SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,11.017,1.812,4.71,0.385,1.319,3.101,0.425,0.493,1.609,0.306,0.855,1.043,0.819,0.246,1.362,1.609,0.739,0.377,0.188,0.449,0.623,4.971,3.232,-0.536,0.481,0.437,0.342,0.182,2.027,10.645,6.433,7.998,1.749,1.616,8.829,21.506,85.686,111.961,-4.876
2022-23,5.088,1.041,2.49,0.418,0.796,1.898,0.419,0.245,0.592,0.414,0.592,0.776,0.763,0.143,0.469,0.612,0.408,0.184,0.0,0.265,0.429,2.918,1.792,-0.939,0.515,0.467,0.238,0.238,3.152,12.583,7.652,10.548,1.735,0.0,8.374,26.391,92.087,118.522,-4.504
2023-24,5.296,1.0,2.463,0.406,0.791,1.687,0.469,0.209,0.776,0.269,0.358,0.522,0.686,0.299,0.507,0.806,0.209,0.164,0.119,0.358,0.627,2.567,1.324,-1.567,0.477,0.448,0.315,0.145,6.794,7.089,6.769,4.523,0.571,1.189,10.574,23.709,78.657,124.829,-9.326
