SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,10.731,2.053,3.825,0.537,2.0,3.684,0.543,0.053,0.14,0.375,0.912,1.298,0.703,0.895,1.947,2.842,0.474,0.281,0.228,0.649,1.123,5.07,3.944,-0.719,0.577,0.544,0.037,0.239,9.227,19.427,14.524,5.873,1.309,1.509,15.064,21.576,103.091,113.242,-2.87
2017-18,18.793,3.106,6.939,0.448,2.833,6.167,0.459,0.273,0.773,0.353,1.439,1.788,0.805,1.5,2.864,4.364,1.091,0.379,0.742,1.106,2.0,7.924,5.835,-1.818,0.513,0.467,0.111,0.207,9.14,17.547,13.337,10.005,1.027,4.263,12.948,21.788,97.9,110.783,-3.737
2018-19,2.561,0.37,0.726,0.509,0.288,0.521,0.553,0.082,0.205,0.4,0.123,0.247,0.5,0.123,0.466,0.589,0.151,0.068,0.082,0.151,0.411,0.945,0.678,-0.548,0.566,0.566,0.283,0.17,3.428,17.348,10.756,10.036,1.312,3.064,14.212,16.152,90.04,112.52,-39.928
2019-20,16.672,2.382,4.324,0.551,2.294,3.941,0.582,0.088,0.382,0.231,0.735,0.971,0.758,1.912,3.059,4.971,1.235,0.206,0.912,0.882,2.618,5.588,5.456,0.353,0.588,0.561,0.088,0.17,12.085,18.491,15.318,9.267,0.564,4.379,17.436,14.485,111.515,110.848,-2.864
