SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,5.077,0.276,0.862,0.32,0.034,0.276,0.125,0.241,0.586,0.412,0.207,0.207,1.0,0.069,0.483,0.552,0.552,0.241,0.103,0.069,0.241,1.0,1.234,-1.034,0.525,0.46,0.68,0.24,2.2,19.919,11.3,11.356,3.119,3.044,3.125,8.912,99.688,103.562,1.688
2019-20,6.365,0.462,1.0,0.462,0.205,0.385,0.533,0.256,0.615,0.417,0.179,0.231,0.778,0.051,0.359,0.41,0.692,0.179,0.0,0.128,0.538,1.359,1.287,-0.205,0.617,0.59,0.615,0.179,0.742,5.081,2.931,13.377,1.023,0.0,6.412,7.0,95.846,113.192,-3.708
2021-22,27.055,1.5,6.5,0.231,0.75,3.25,0.231,0.75,3.25,0.231,1.0,1.0,1.0,0.5,2.0,2.5,5.25,1.75,1.0,2.75,2.0,4.75,4.325,-0.75,0.342,0.288,0.5,0.154,1.533,8.8,4.533,30.2,2.933,3.333,28.6,14.467,69.667,110.333,-4.667
