SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,5.686,0.421,1.368,0.308,0.368,0.895,0.412,0.053,0.474,0.111,0.105,0.105,1.0,0.421,0.526,0.947,0.526,0.263,0.053,0.263,0.263,1.0,0.963,-1.368,0.353,0.327,0.346,0.077,4.689,14.622,9.644,7.356,1.811,0.589,11.333,12.922,61.111,111.333,-7.667
2022-23,5.073,0.49,1.118,0.439,0.392,0.804,0.488,0.098,0.314,0.312,0.118,0.176,0.667,0.118,0.333,0.451,0.608,0.176,0.059,0.098,0.255,1.196,1.212,0.078,0.5,0.482,0.281,0.105,4.076,5.416,4.68,15.276,1.456,0.924,3.9,9.196,108.32,116.56,-3.444
2023-24,6.176,0.87,1.565,0.556,0.478,0.739,0.647,0.391,0.826,0.474,0.13,0.174,0.75,0.13,0.739,0.87,1.174,0.304,0.043,0.217,0.043,2.261,2.73,0.913,0.689,0.681,0.528,0.083,3.983,13.325,8.275,23.925,1.917,0.308,17.225,12.408,101.333,113.5,-1.292
