SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,6.946,1.179,2.625,0.449,0.893,1.75,0.51,0.286,0.875,0.327,0.679,1.089,0.623,1.036,0.75,1.786,0.357,0.161,0.107,0.321,0.982,3.321,2.512,-1.125,0.535,0.503,0.333,0.259,14.475,12.5,13.466,7.666,1.613,1.019,10.203,23.822,113.094,117.219,-1.597
2022-23,4.773,1.235,2.275,0.543,0.961,1.51,0.636,0.275,0.765,0.359,0.804,1.02,0.788,0.647,0.588,1.235,0.353,0.059,0.039,0.275,0.843,3.549,2.716,0.353,0.652,0.603,0.336,0.353,17.561,12.161,14.764,10.207,0.393,0.757,10.357,26.796,103.75,120.571,-5.814
2023-24,2.203,0.687,1.299,0.529,0.522,0.776,0.673,0.164,0.522,0.314,0.373,0.493,0.758,0.313,0.239,0.552,0.075,0.06,0.015,0.09,0.358,1.91,1.409,0.448,0.63,0.592,0.402,0.287,14.272,12.791,13.812,5.912,0.891,0.125,4.569,28.319,99.969,113.656,-0.562
