SEASON,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,20.954,2.372,4.942,0.48,2.372,4.919,0.482,0.0,0.023,0.0,1.605,2.186,0.734,2.279,3.767,6.047,0.57,0.57,1.209,0.837,2.744,6.349,6.212,3.628,0.538,0.48,0.005,0.325,12.145,17.704,14.933,3.832,1.391,3.806,12.325,14.227,111.871,98.212,-1.051
2001-02,21.388,2.247,4.103,0.548,2.247,4.103,0.548,0.0,0.0,0.0,1.268,1.835,0.691,2.237,4.134,6.371,0.577,0.794,0.835,0.732,2.454,5.763,6.438,3.186,0.587,0.548,0.0,0.309,11.678,18.443,15.167,3.749,1.835,2.299,11.962,11.779,122.484,99.663,0.198
2002-03,10.372,1.175,2.775,0.423,1.175,2.775,0.423,0.0,0.0,0.0,0.825,1.275,0.647,1.575,1.825,3.4,0.2,0.35,0.55,0.55,1.625,3.175,2.848,2.5,0.476,0.423,0.0,0.297,15.348,16.439,15.774,3.913,1.561,3.023,14.268,15.294,90.484,98.742,-5.11
2003-04,7.202,0.49,1.208,0.405,0.49,1.208,0.405,0.0,0.0,0.0,0.146,0.26,0.56,0.708,1.042,1.75,0.104,0.25,0.271,0.229,1.167,1.125,1.054,-0.875,0.425,0.405,0.0,0.121,9.973,17.32,13.614,2.056,1.845,2.477,15.702,10.561,82.484,97.0,-6.608
2004-05,13.509,1.232,2.638,0.467,1.232,2.638,0.467,0.0,0.0,0.0,0.493,0.739,0.667,1.29,1.841,3.13,0.275,0.449,0.348,0.507,1.913,2.957,2.572,1.087,0.499,0.467,0.0,0.187,9.255,15.869,12.538,3.643,1.947,1.602,14.547,11.486,97.845,102.966,-2.731
2005-06,10.624,0.946,2.095,0.452,0.946,2.095,0.452,0.0,0.0,0.0,0.392,0.514,0.763,1.0,2.014,3.014,0.324,0.514,0.27,0.365,1.622,2.284,2.368,0.581,0.492,0.452,0.0,0.187,13.339,20.027,17.002,4.733,2.414,1.769,16.598,12.339,99.878,100.102,-1.692
2006-07,1.594,0.157,0.371,0.423,0.157,0.371,0.423,0.0,0.0,0.0,0.029,0.057,0.5,0.214,0.229,0.443,0.043,0.057,0.014,0.057,0.4,0.343,0.233,-0.043,0.432,0.423,0.0,0.077,16.074,13.393,15.393,2.863,1.53,0.226,7.53,12.833,64.778,102.407,-12.385
2007-08,3.458,0.24,0.46,0.522,0.24,0.46,0.522,0.0,0.0,0.0,0.3,0.44,0.682,0.28,0.46,0.74,0.06,0.06,0.12,0.1,0.86,0.78,0.574,0.28,0.597,0.522,0.0,0.652,9.691,14.868,12.114,2.032,0.741,2.655,9.595,11.091,93.545,101.409,-2.141
