SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,33.506,78.916,0.425,29.157,65.855,0.443,4.349,13.06,0.333,19.627,25.855,0.759,10.952,28.157,39.108,19.313,7.819,4.904,14.554,23.88,90.988,0.504,0.452,0.165,0.249,25.447,69.64,46.789,57.26,8.496,7.614,13.658,99.106,104.645
2001-02,36.495,82.272,0.444,31.777,67.854,0.468,4.718,14.417,0.327,17.398,23.728,0.733,12.485,30.311,42.796,23.456,8.476,5.825,14.301,21.602,95.107,0.513,0.472,0.175,0.211,28.282,71.45,49.564,63.59,9.194,8.769,13.202,103.235,99.674
2002-03,34.854,79.573,0.438,30.592,66.883,0.457,4.262,12.689,0.336,20.136,26.563,0.758,12.252,30.66,42.913,22.456,8.408,4.456,14.718,22.078,94.107,0.516,0.465,0.159,0.253,28.741,73.324,50.98,63.778,9.143,6.944,13.728,102.953,97.755
2003-04,33.532,76.309,0.439,29.0,62.447,0.464,4.532,13.862,0.327,17.457,23.287,0.75,10.415,30.064,40.479,23.766,8.553,4.053,15.032,21.362,89.053,0.514,0.469,0.182,0.229,25.563,73.1,49.431,69.589,9.497,6.499,14.56,99.183,96.596
2004-05,33.184,77.678,0.427,27.897,62.862,0.444,5.287,14.816,0.357,18.954,24.874,0.762,10.425,28.805,39.23,21.345,7.816,3.598,13.977,24.23,90.609,0.511,0.461,0.191,0.244,25.123,72.799,48.395,62.89,8.643,6.017,13.448,100.371,102.623
2005-06,33.564,76.074,0.441,27.862,58.638,0.475,5.702,17.436,0.327,20.011,26.383,0.758,9.915,30.362,40.277,22.628,6.745,3.255,13.394,23.362,92.84,0.529,0.479,0.229,0.263,23.56,75.791,49.209,66.419,7.505,5.467,13.104,103.077,101.973
2006-07,34.779,76.411,0.455,27.4,56.137,0.488,7.379,20.274,0.364,18.674,25.611,0.729,9.737,30.526,40.263,23.558,6.053,3.242,14.789,22.347,95.611,0.545,0.503,0.265,0.244,23.847,74.069,49.094,67.004,6.615,5.291,14.266,104.053,104.656
2007-08,34.41,77.711,0.443,28.41,60.482,0.47,6.0,17.229,0.348,19.843,26.952,0.736,11.0,30.361,41.361,23.193,6.277,4.699,14.807,22.349,94.663,0.528,0.481,0.222,0.255,26.016,73.072,49.465,66.577,6.781,7.595,14.008,102.664,108.224
2008-09,35.241,78.747,0.448,27.386,57.843,0.473,7.855,20.904,0.376,18.578,23.855,0.779,10.241,29.096,39.337,19.711,6.735,4.711,12.952,22.145,96.916,0.543,0.497,0.265,0.236,24.504,72.901,48.431,55.337,7.402,7.946,12.49,107.03,109.671
2009-10,33.892,78.964,0.429,29.349,64.687,0.454,4.542,14.277,0.318,18.94,24.277,0.78,10.807,28.41,39.217,18.554,6.904,4.735,14.241,19.795,91.265,0.509,0.458,0.181,0.24,24.636,71.1,46.787,53.934,7.478,7.354,13.536,99.452,109.257
2010-11,35.157,79.976,0.44,29.627,63.867,0.464,5.53,16.108,0.343,17.193,22.663,0.759,10.952,29.398,40.349,20.759,5.518,4.627,13.88,21.771,93.036,0.517,0.474,0.201,0.215,25.461,73.399,48.804,58.146,6.004,7.273,13.211,101.854,108.654
2011-12,33.761,79.403,0.425,26.194,57.299,0.457,7.567,22.104,0.342,16.612,21.388,0.777,11.687,28.045,39.731,19.567,7.358,3.881,14.851,18.925,91.701,0.516,0.473,0.278,0.209,27.273,69.87,47.931,57.024,8.091,6.131,14.097,101.509,108.104
