SEASON,DATE,OPPONENT,HOME_TEAM,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,2000-10-31,MAV,MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-02,ROC,ROC,16.5,41.5,0.398,13.5,32.0,0.422,3.0,9.5,0.316,10.5,13.0,0.808,8.5,17.0,25.5,8.0,3.0,3.5,10.0,13.5,46.5,0.492,0.434,0.229,0.253,17.35,31.5,24.75,24.25,3.15,5.55,8.75,49.05,51.15
2000-01,2000-11-04,PIS,BUC,22.333,52.667,0.424,19.333,43.333,0.446,3.0,9.333,0.321,14.333,17.333,0.827,9.333,20.0,29.333,10.333,3.0,4.333,12.0,17.333,62.0,0.514,0.453,0.177,0.272,21.2,45.767,33.4,30.867,3.2,7.867,11.033,67.067,76.633
2000-01,2000-11-07,KNI,BUC,26.0,60.0,0.433,23.25,49.5,0.47,2.75,10.5,0.262,16.0,20.5,0.78,9.75,23.0,32.75,14.25,4.5,3.75,12.5,20.5,70.75,0.513,0.456,0.175,0.267,23.125,52.925,38.325,40.725,4.75,6.575,11.475,75.725,80.525
2000-01,2000-11-08,PAC,PAC,27.6,63.4,0.435,23.4,50.4,0.464,4.2,13.0,0.323,15.0,18.8,0.798,9.2,23.8,33.0,15.8,4.4,3.8,12.6,19.4,74.4,0.519,0.468,0.205,0.237,21.76,57.76,39.38,45.52,4.7,6.56,11.9,80.66,87.64
2000-01,2000-11-11,TIM,BUC,29.5,68.167,0.433,25.0,53.0,0.472,4.5,15.167,0.297,14.667,18.333,0.8,10.5,24.333,34.833,17.0,4.667,3.833,12.0,20.5,78.167,0.513,0.466,0.222,0.215,23.917,59.117,40.967,47.767,5.05,6.517,11.3,85.567,93.467
2000-01,2000-11-15,HAW,BUC,30.286,69.143,0.438,25.857,54.429,0.475,4.429,14.714,0.301,15.143,19.0,0.797,10.571,23.857,34.429,16.857,5.571,3.857,12.571,20.571,80.143,0.517,0.47,0.213,0.219,24.629,57.814,40.829,47.471,6.143,6.429,11.943,88.514,97.1
2000-01,2000-11-17,CAV,BUC,30.625,69.375,0.441,25.625,54.125,0.473,5.0,15.25,0.328,14.375,19.125,0.752,10.5,24.25,34.75,17.25,6.0,4.0,12.625,20.875,80.625,0.518,0.477,0.22,0.207,24.75,58.825,41.512,49.112,6.725,6.788,12.2,90.062,96.075
2000-01,2000-11-18,RAP,RAP,31.111,71.111,0.438,26.0,55.111,0.472,5.111,16.0,0.319,14.222,18.778,0.757,10.333,25.111,35.444,18.111,6.444,4.0,12.444,20.667,81.556,0.514,0.473,0.225,0.2,24.122,61.178,42.133,51.589,7.189,6.722,12.033,90.844,94.611
2000-01,2000-11-22,BLA,BUC,32.3,73.2,0.441,26.9,57.4,0.469,5.4,15.8,0.342,13.6,18.2,0.747,10.7,25.1,35.8,18.0,6.2,4.4,12.3,22.5,83.6,0.515,0.478,0.216,0.186,24.69,61.64,42.51,50.38,6.91,7.38,11.84,93.03,97.41
