SEASON,DATE,OPPONENT,HOME_TEAM,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2013-14,2013-10-30,PAC,PEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013-11-01,MAG,MAG,17.0,42.5,0.4,14.5,37.0,0.392,2.5,5.5,0.455,8.5,10.5,0.81,7.5,14.0,21.5,8.5,3.5,2.5,7.5,14.5,45.0,0.478,0.429,0.129,0.2,16.3,41.2,26.9,25.0,3.8,5.3,6.85,49.15,51.9
2013-14,2013-11-02,BOB,PEL,22.0,59.0,0.373,18.333,51.333,0.357,3.667,7.667,0.478,12.333,15.667,0.787,10.667,18.333,29.0,11.0,4.667,3.333,9.0,16.667,60.0,0.455,0.404,0.13,0.209,21.0,55.6,34.6,33.333,5.0,7.0,8.033,64.433,73.3
2013-14,2013-11-05,SUN,PEL,25.75,63.0,0.409,21.25,54.0,0.394,4.5,9.0,0.5,15.25,18.75,0.813,10.0,22.5,32.5,15.75,6.0,7.0,11.0,19.0,71.25,0.5,0.444,0.143,0.242,21.475,59.55,38.75,45.275,6.4,12.875,10.1,76.25,77.325
2013-14,2013-11-06,GRI,GRI,28.0,67.4,0.415,22.4,56.6,0.396,5.6,10.8,0.519,15.0,18.8,0.798,9.6,24.4,34.0,17.8,7.2,7.8,11.6,19.2,76.6,0.506,0.457,0.16,0.223,20.98,64.06,40.88,50.28,7.62,14.46,10.68,81.4,83.52
2013-14,2013-11-08,LAK,PEL,29.667,69.167,0.429,24.333,58.0,0.42,5.333,11.167,0.478,15.667,19.167,0.817,10.167,24.667,34.833,17.5,7.667,7.333,12.0,18.833,80.333,0.518,0.467,0.161,0.227,23.667,66.517,43.633,48.917,8.3,13.533,11.2,87.167,86.0
2013-14,2013-11-10,SUN,SUN,30.857,71.714,0.43,25.857,60.857,0.425,5.0,10.857,0.461,15.857,19.571,0.81,10.286,26.714,37.0,18.571,8.0,7.429,11.571,19.286,82.571,0.514,0.465,0.151,0.221,23.629,67.943,44.686,51.329,8.657,13.471,10.814,89.571,86.871
2013-14,2013-11-12,LAK,LAK,31.875,73.75,0.432,27.0,62.625,0.431,4.875,11.125,0.438,15.375,18.75,0.82,10.75,27.0,37.75,18.75,7.75,6.875,12.25,19.375,84.0,0.512,0.465,0.151,0.208,24.65,68.75,45.575,51.325,8.388,12.462,11.388,91.1,89.675
2013-14,2013-11-13,JAZ,JAZ,32.111,74.889,0.429,27.444,63.889,0.43,4.667,11.0,0.424,16.333,20.333,0.803,10.556,26.444,37.0,19.222,8.111,6.444,12.333,19.444,85.222,0.508,0.46,0.147,0.218,23.8,69.0,44.611,53.133,8.7,11.644,11.422,91.711,92.822
2013-14,2013-11-16,76E,PEL,33.1,75.9,0.436,28.4,64.8,0.438,4.7,11.1,0.423,16.3,20.3,0.803,10.6,26.1,36.7,19.2,8.6,6.1,12.4,20.5,87.2,0.514,0.467,0.146,0.215,24.1,68.32,44.51,52.34,9.21,11.08,11.5,93.71,95.34
2013-14,2013-11-20,JAZ,PEL,34.818,76.818,0.453,29.364,64.182,0.458,5.455,12.636,0.432,16.455,20.909,0.787,10.545,26.727,37.273,20.182,8.818,7.091,12.455,20.909,91.545,0.532,0.489,0.164,0.214,24.3,69.082,45.291,52.827,9.364,12.491,11.518,97.364,95.509
2013-14,2013-11-22,CAV,PEL,35.25,77.0,0.458,29.833,64.167,0.465,5.417,12.833,0.422,16.75,21.917,0.764,10.833,27.0,37.833,20.5,8.833,7.583,12.417,20.833,92.667,0.535,0.493,0.167,0.218,25.05,69.733,46.042,53.425,9.392,13.283,11.508,98.717,96.383
2013-14,2013-11-25,SPU,SPU,35.308,77.846,0.454,29.846,64.692,0.461,5.462,13.154,0.415,17.462,22.769,0.767,11.462,27.154,38.615,20.462,9.0,7.462,12.385,20.769,93.538,0.532,0.489,0.169,0.224,26.046,70.746,46.846,53.592,9.562,13.115,11.431,99.592,97.115
2013-14,2013-11-26,WAR,PEL,35.429,79.214,0.447,30.214,65.929,0.458,5.214,13.286,0.392,17.429,22.571,0.772,11.857,27.429,39.286,20.5,9.143,7.357,12.643,20.571,93.5,0.524,0.48,0.168,0.22,26.393,71.521,47.186,53.821,9.657,12.943,11.55,99.071,98.121
