SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,35.817,87.5,0.411,32.378,75.744,0.43,3.439,11.756,0.278,17.415,24.683,0.709,16.402,29.085,45.488,21.805,9.049,5.0,15.866,21.061,92.488,0.472,0.431,0.135,0.287,32.965,69.85,49.979,60.756,9.571,7.277,13.891,98.104,107.755
2001-02,36.561,85.232,0.43,32.659,73.11,0.449,3.902,12.122,0.322,20.646,28.585,0.72,16.268,30.402,46.671,20.805,7.927,6.378,16.805,22.951,97.671,0.501,0.453,0.143,0.34,35.14,69.518,51.898,56.913,8.359,8.955,14.685,103.206,108.899
2002-03,37.329,84.646,0.443,32.146,69.585,0.463,5.183,15.061,0.341,22.598,29.049,0.78,15.659,31.049,46.707,20.878,7.244,6.171,15.793,21.78,102.439,0.528,0.474,0.177,0.348,34.64,68.239,51.667,55.912,7.677,8.479,13.96,108.657,109.759
2003-04,35.061,79.402,0.443,29.829,63.756,0.469,5.232,15.646,0.329,17.927,24.732,0.723,12.22,30.89,43.11,20.5,7.024,4.744,14.768,20.622,93.28,0.517,0.475,0.197,0.316,28.029,72.448,50.091,58.582,7.734,6.999,14.066,103.002,103.813
2004-05,36.939,85.841,0.431,29.329,64.207,0.459,7.61,21.634,0.342,17.22,23.841,0.72,13.037,29.707,42.744,22.085,7.829,5.122,13.561,22.354,98.707,0.513,0.475,0.252,0.282,27.557,70.259,47.673,59.826,8.255,7.52,12.357,104.588,107.04
2005-06,35.841,82.744,0.434,28.22,60.402,0.468,7.622,22.341,0.341,19.183,26.707,0.719,11.951,30.305,42.256,20.659,7.366,4.354,14.098,23.671,98.488,0.522,0.48,0.27,0.327,26.788,71.993,48.651,57.567,7.821,6.589,12.977,104.743,106.178
2006-07,39.768,85.951,0.464,31.232,61.963,0.507,8.537,23.988,0.352,18.476,25.768,0.715,11.463,29.951,41.415,23.78,9.146,5.683,15.963,23.573,106.549,0.549,0.514,0.279,0.305,25.446,69.802,47.076,59.428,9.17,8.917,14.083,107.07,107.315
2007-08,41.5,90.317,0.461,32.22,63.671,0.507,9.28,26.646,0.351,18.756,24.927,0.757,12.744,30.439,43.183,22.354,9.073,4.598,13.195,22.866,111.037,0.55,0.512,0.295,0.281,26.999,70.557,47.944,53.691,9.095,6.859,11.533,111.917,109.707
2008-09,39.402,86.037,0.459,32.695,68.049,0.483,6.707,17.988,0.368,23.085,29.171,0.788,11.622,30.39,42.012,20.866,7.78,6.427,14.646,22.463,108.598,0.55,0.499,0.21,0.345,25.828,68.198,47.034,52.762,7.83,9.144,12.933,109.47,113.251
2009-10,40.598,86.512,0.47,32.878,65.939,0.499,7.72,20.573,0.372,19.89,25.427,0.779,9.183,29.232,38.415,22.427,9.28,4.146,14.683,23.0,108.805,0.558,0.515,0.237,0.297,20.83,68.722,44.422,55.161,9.212,6.073,13.051,108.22,111.818
2010-11,39.646,85.939,0.462,31.293,64.61,0.484,8.354,21.329,0.384,15.732,20.671,0.755,11.646,28.902,40.549,22.524,8.988,4.951,14.61,22.024,103.378,0.544,0.511,0.249,0.243,26.399,69.62,47.493,56.913,9.411,7.69,13.291,108.217,110.634
2011-12,37.712,82.47,0.458,29.773,62.0,0.481,7.939,20.47,0.38,14.409,18.712,0.77,9.697,29.5,39.197,22.273,8.0,5.485,13.864,21.364,97.773,0.54,0.507,0.249,0.23,22.629,69.176,46.124,59.029,8.585,8.779,13.248,105.461,109.127
2012-13,38.171,83.415,0.459,30.146,63.512,0.475,8.024,19.902,0.4,16.805,21.268,0.793,10.793,34.159,44.951,22.5,6.915,4.22,15.073,21.378,101.171,0.547,0.507,0.239,0.259,25.271,75.63,51.22,58.818,7.246,6.816,13.993,106.58,105.523
2013-14,39.463,85.427,0.462,30.024,60.585,0.497,9.439,24.841,0.379,15.89,21.11,0.756,10.927,34.378,45.305,23.317,7.829,4.963,15.207,21.756,104.256,0.551,0.518,0.29,0.25,25.034,76.283,51.085,58.907,8.022,7.721,13.815,107.574,102.615
