SEASON,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORTG,DRTG
2000-01,33.915,79.878,0.424,29.512,66.659,0.443,4.402,13.22,0.325,19.866,26.171,0.761,11.085,28.5,39.585,19.549,7.915,4.963,14.732,24.171,92.098,0.504,0.452,0.165,0.331,25.757,70.489,47.36,57.959,8.6,7.707,13.824,100.315,105.921
2001-02,37.098,83.122,0.447,32.183,68.561,0.47,4.915,14.561,0.33,17.098,23.256,0.737,12.671,30.671,43.341,24.268,8.732,5.976,14.5,21.159,96.207,0.516,0.477,0.175,0.283,28.934,72.04,50.291,65.28,9.489,8.833,13.387,104.64,100.144
2002-03,35.439,80.305,0.443,31.22,67.61,0.463,4.22,12.695,0.332,20.268,26.768,0.76,12.085,30.829,42.915,23.012,8.744,4.561,14.78,21.61,95.366,0.519,0.469,0.157,0.338,28.506,73.339,51.02,64.937,9.491,7.03,13.811,104.234,98.61
2003-04,34.305,77.707,0.442,29.707,64.012,0.465,4.598,13.695,0.333,17.049,22.634,0.748,10.512,30.159,40.671,24.5,8.646,3.927,14.744,21.0,90.256,0.515,0.471,0.176,0.297,25.739,74.067,49.915,70.857,9.607,6.345,14.329,100.843,98.168
2004-05,33.573,78.28,0.43,28.268,63.61,0.447,5.305,14.671,0.36,18.963,24.866,0.771,10.427,29.11,39.537,21.61,7.927,3.756,14.195,24.207,91.415,0.513,0.464,0.186,0.325,25.379,73.466,48.977,63.639,8.793,6.276,13.702,101.56,103.27
2005-06,33.878,77.037,0.44,28.061,59.39,0.474,5.817,17.646,0.324,20.22,26.671,0.757,10.024,30.963,40.988,22.976,6.805,3.39,13.646,23.207,93.793,0.529,0.478,0.23,0.349,23.729,76.55,49.726,67.507,7.557,5.606,13.318,103.854,102.441
2006-07,35.524,77.793,0.457,28.098,57.354,0.49,7.427,20.439,0.352,19.098,26.256,0.728,10.024,30.793,40.817,23.927,6.085,3.329,14.78,22.793,97.573,0.546,0.505,0.263,0.343,24.465,74.478,49.584,67.332,6.622,5.404,14.157,105.688,106.657
2007-08,34.829,78.659,0.443,28.756,61.22,0.472,6.073,17.439,0.342,20.085,27.28,0.741,11.134,30.732,41.866,23.476,6.354,4.756,14.988,22.622,95.817,0.529,0.482,0.222,0.351,26.333,73.963,50.068,67.389,6.863,7.688,14.179,103.916,109.544
2008-09,35.671,79.707,0.449,27.72,58.549,0.476,7.951,21.159,0.374,18.805,24.146,0.779,10.366,29.451,39.817,19.951,6.817,4.768,13.11,22.415,98.098,0.545,0.499,0.266,0.306,24.802,73.79,49.022,56.012,7.493,8.043,12.643,108.335,111.009
2009-10,34.305,79.927,0.43,29.707,65.476,0.454,4.598,14.451,0.318,19.171,24.573,0.78,10.939,28.756,39.695,18.78,6.988,4.793,14.415,20.037,92.378,0.51,0.459,0.18,0.311,24.937,71.967,47.357,54.591,7.57,7.444,13.701,100.665,110.589
2010-11,35.585,80.951,0.442,29.988,64.646,0.466,5.598,16.305,0.345,17.402,22.939,0.763,11.085,29.756,40.841,21.012,5.585,4.683,14.049,22.037,94.171,0.519,0.476,0.2,0.287,25.772,74.294,49.399,58.855,6.077,7.362,13.372,103.096,109.979
2011-12,34.273,80.606,0.426,26.591,58.167,0.458,7.682,22.439,0.335,16.864,21.712,0.782,11.864,28.47,40.333,19.864,7.47,3.939,15.076,19.212,93.091,0.517,0.474,0.28,0.272,27.686,70.929,48.658,57.888,8.214,6.224,14.311,103.047,109.742
